tipo,filo,maglia,peso,pannello,superficie_pannello,peso_pannello
510,5,10x10,3.08,2x3,6,18.48
515,5,15x15,2.105,2x3,6,12.63
520,5,20x20,1.54,2x3,6,9.24
610,6,10x10,4.44,2x3,6,26.64
615,6,15x15,3.034,2x3,6,18.2
620,6,20x20,2.22,2x3,6,13.32
810,8,10x10,7.9,2x3,6,47.4
815,8,15x15,5.398,2x3,6,32.39
820,8,20x20,3.95,2x3,6,23.7
1020,10,20x20,6.17,2x3,6,37.02
510,5,10x10,3.114,"2,25x4",9,28.03
515,5,15x15,2.066,"2,25x4",9,18.6
520,5,20x20,1.591,"2,25x4",9,14.33
610,6,10x10,4.489,"2,25x4",9,40.4
615,6,15x15,2.979,"2,25x4",9,26.81
620,6,20x20,2.294,"2,25x4",9,20.64
810,8,10x10,7.988,"2,25x4",9,71.89
815,8,15x15,5.3,"2,25x4",9,47.7
820,8,20x20,4.082,"2,25x4",9,36.7
1020,10,20x20,6.36,"2,25x4",9,57.34
1220,12,20x20,9.176,"2,25x4",9,82.58
